TrialNo,audio file,cond,TargetSub,TargetCallSign,TargetColorNo,DistSub,DistCallSign,DistColorNo,Answer,Time,correct
1,NB2047-026.wav,SelfTarget,NB2047,ネコは,モモの7,NB2407,ブタは,クロの4,わからない,1.27,False
2,NB2047-049.wav,SelfDistractor,NB2291,ネコは,シロの8,NB2047,トリは,アカの4,わからない,0.0,False
3,NB2047-044.wav,SelfDistractor,NB2243,トラは,ニジの7,NB2047,ネコは,クロの1,わからない,0.0,False
4,NB2047-079.wav,Other,NB2275,ブタは,クロの10,NB2081,シカは,モモの9,わからない,0.0,False
5,NB2047-001.wav,SelfTarget,NB2047,シカは,アオの0,NA1027,ネコは,ニジの0,わからない,0.0,False
6,NB2047-021.wav,SelfTarget,NB2047,ブタは,クロの6,NB2291,イヌは,モモの3,わからない,0.0,False
7,NB2047-058.wav,SelfDistractor,NB2523,ブタは,アカの6,NB2047,イヌは,シロの8,わからない,0.0,False
8,NB2047-078.wav,Other,NB2195,シカは,アオの10,NB2523,ネコは,シロの9,わからない,0.0,False
9,NB2047-032.wav,SelfDistractor,NA1027,サルは,モモの10,NB2047,トリは,クロの8,わからない,0.0,False
10,NB2047-011.wav,SelfTarget,NB2047,トリは,アオの8,NB2195,トラは,アカの7,わからない,0.0,False
11,NB2047-057.wav,SelfDistractor,NB2407,トラは,クロの6,NB2047,サルは,アカの3,わからない,0.0,False
12,NB2047-077.wav,Other,NB2291,トラは,アカの0,NB2099,ブタは,モモの7,わからない,0.0,False
13,NB2047-051.wav,SelfDistractor,NB2291,トリは,ニジの1,NB2047,ブタは,シロの9,わからない,0.0,False
14,NB2047-066.wav,Other,NB2243,シカは,シロの3,NB2523,トラは,モモの0,わからない,0.0,False
15,NB2047-002.wav,SelfTarget,NB2047,トラは,モモの6,NA1027,ネコは,アオの7,わからない,0.0,False
16,NB2047-068.wav,Other,NB2243,サルは,ニジの7,NB2291,ネコは,アカの7,わからない,0.0,False
17,NB2047-081.wav,Other,NA1027,トラは,アカの4,NB2523,ブタは,ニジの6,わからない,0.0,False
18,NB2047-074.wav,Other,NB2195,ネコは,アオの10,NB2243,イヌは,モモの0,わからない,0.0,False
19,NB2047-090.wav,Other,NB2275,イヌは,アカの10,NB2387,ブタは,クロの4,わからない,0.0,False
20,NB2047-039.wav,SelfDistractor,NB2099,サルは,モモの4,NB2047,シカは,クロの9,わからない,0.0,False
21,NB2047-043.wav,SelfDistractor,NB2243,サルは,モモの10,NB2047,ネコは,モモの8,わからない,0.0,False
22,NB2047-042.wav,SelfDistractor,NB2195,トラは,クロの1,NB2047,サルは,シロの7,わからない,0.0,False
23,NB2047-031.wav,SelfDistractor,NA1027,トラは,ニジの6,NB2047,イヌは,アオの8,わからない,0.0,False
24,NB2047-030.wav,SelfTarget,NB2047,イヌは,アカの6,NB2523,シカは,モモの6,わからない,0.0,False
25,NB2047-012.wav,SelfTarget,NB2047,トリは,モモの6,NB2195,イヌは,モモの3,わからない,0.0,False
26,NB2047-014.wav,SelfTarget,NB2047,サルは,ニジの9,NB2243,ブタは,アカの9,わからない,0.0,False
27,NB2047-029.wav,SelfTarget,NB2047,ネコは,アカの1,NB2523,イヌは,モモの9,わからない,0.0,False
28,NB2047-084.wav,Other,NB2195,サルは,アカの10,NB2243,ネコは,アカの8,わからない,0.0,False
29,NB2047-027.wav,SelfTarget,NB2047,トリは,シロの4,NB2407,サルは,モモの9,わからない,0.0,False
30,NB2047-061.wav,Other,NB2291,シカは,クロの3,NB2099,イヌは,シロの3,わからない,0.0,False
31,NB2047-045.wav,SelfDistractor,NB2243,ブタは,シロの4,NB2047,トラは,モモの7,わからない,0.0,False
32,NB2047-007.wav,SelfTarget,NB2047,シカは,ニジの0,NB2099,ブタは,アオの6,わからない,0.0,False
33,NB2047-056.wav,SelfDistractor,NB2407,サルは,アカの3,NB2047,シカは,アカの7,わからない,0.0,False
34,NB2047-008.wav,SelfTarget,NB2047,サルは,クロの9,NB2099,ネコは,アオの7,わからない,0.0,False
35,NB2047-053.wav,SelfDistractor,NB2387,サルは,モモの10,NB2047,シカは,アカの7,わからない,0.0,False
36,NB2047-036.wav,SelfDistractor,NB2081,ブタは,クロの3,NB2047,ネコは,モモの0,わからない,0.0,False
37,NB2047-050.wav,SelfDistractor,NB2291,サルは,アオの1,NB2047,トラは,ニジの6,わからない,0.0,False
38,NB2047-082.wav,Other,NB2407,トラは,クロの8,NB2387,トリは,ニジの4,わからない,0.0,False
39,NB2047-034.wav,SelfDistractor,NB2081,イヌは,モモの0,NB2047,トリは,ニジの7,わからない,0.0,False
40,NB2047-060.wav,SelfDistractor,NB2523,トリは,アオの3,NB2047,ブタは,アカの6,わからない,0.0,False
41,NB2047-048.wav,SelfDistractor,NB2275,サルは,シロの0,NB2047,ネコは,ニジの7,わからない,0.0,False
42,NB2047-047.wav,SelfDistractor,NB2275,サルは,アカの10,NB2047,トリは,アカの7,わからない,0.0,False
43,NB2047-073.wav,Other,NB2387,トリは,ニジの7,NB2081,ブタは,シロの3,わからない,0.0,False
44,NB2047-041.wav,SelfDistractor,NB2195,ブタは,ニジの8,NB2047,ネコは,シロの1,わからない,0.0,False
45,NB2047-038.wav,SelfDistractor,NB2099,イヌは,アカの3,NB2047,トリは,アカの3,わからない,0.0,False
46,NB2047-067.wav,Other,NB2099,ネコは,アオの6,NB2291,トラは,クロの1,わからない,0.0,False
47,NB2047-024.wav,SelfTarget,NB2047,ブタは,アカの7,NB2387,トリは,クロの3,わからない,0.0,False
48,NB2047-075.wav,Other,NB2291,サルは,アカの3,NB2275,トラは,アカの7,わからない,0.0,False
49,NB2047-065.wav,Other,NB2275,イヌは,アオの6,NB2099,サルは,アカの4,わからない,0.0,False
50,NB2047-015.wav,SelfTarget,NB2047,シカは,クロの0,NB2243,ネコは,モモの7,わからない,0.0,False
51,NB2047-052.wav,SelfDistractor,NB2387,イヌは,アオの10,NB2047,ブタは,ニジの1,わからない,0.0,False
52,NB2047-004.wav,SelfTarget,NB2047,イヌは,シロの4,NB2081,ブタは,アカの10,わからない,0.0,False
