TrialNo,audio file,cond,VoiceSubID,ê∫Ç™ñ£óÕìIÇ…ä¥Ç∂ÇÈÇ©,é©ï™ÇÃê∫ÇæÇ∆ä¥Ç∂ÇÈÇ©,ê∫Ç…êeÇµÇ›Çä¥Ç∂ÇÈÇ©,é©êMÇ™Ç†ÇÈê∫Ç…ä¥Ç∂ÇÈÇ©,ï∑Ç´éÊÇËÇ‚Ç∑Ç¢ê∫Ç©
1,NB2047-009(Imp).wav,RepresenSub8-NB2387,NB2387,50,50,50,50,50
2,NB2047-012(Imp).wav,SimSub1-NB2301,NB2161,50,50,50,50,50
3,NB2047-004(Imp).wav,RepresenSub3-NB2099,NB2099,50,50,50,50,50
4,NB2047-018(Imp).wav,SimSub7-NB2513,NB2159,50,50,50,50,50
5,NB2047-003(Imp).wav,RepresenSub2-NB2081,NB2081,50,50,50,50,50
6,NB2047-008(Imp).wav,RepresenSub7-NB2291,NB2291,50,50,50,50,50
7,NB2047-014(Imp).wav,SimSub3-NA1013,NB2489,50,50,50,50,50
8,NB2047-016(Imp).wav,SimSub5-NB2333,NB2081,50,50,50,50,50
9,NB2047-017(Imp).wav,SimSub6-NB2691,NB2625,50,50,50,50,50
10,NB2047-006(Imp).wav,RepresenSub5-NB2243,NB2243,50,50,50,50,50
11,NB2047-019(Imp).wav,SimSub8-NB2095,NB2093,50,50,50,50,50
12,NB2047-011(Imp).wav,RepresenSub10-NB2523,NB2523,50,50,50,50,50
13,NB2047-007(Imp).wav,RepresenSub6-NB2275,NB2275,50,50,50,50,50
14,NB2047-002(Imp).wav,RepresenSub1-NA1027,NA1027,50,50,50,50,50
15,NB2047-001(Imp).wav,Self,NB2047,50,50,50,50,50
16,NB2047-005(Imp).wav,RepresenSub4-NB2195,NB2195,50,50,50,50,50
17,NB2047-015(Imp).wav,SimSub4-NB2475,NA1061,50,50,50,50,50
18,NB2047-013(Imp).wav,SimSub2-NB2389,NB2147,50,50,50,50,50
19,NB2047-020(Imp).wav,SimSub9-NB2367,NB2029,50,50,50,50,50
20,NB2047-010(Imp).wav,RepresenSub9-NB2407,NB2407,50,50,50,50,50
21,NB2047-021(Imp).wav,SimSub10-NA1039,NB2497,50,50,50,50,50
