target,ans
シロの0,白0
シロの1,白1
シロの3,白3
シロの4,白4
シロの6,白6
シロの7,白7
シロの8,白8
シロの9,白9
シロの10,白10
アオの0,青0
アオの1,青1
アオの3,青3
アオの4,青4
アオの6,青6
アオの7,青7
アオの8,青8
アオの9,青9
アオの10,青10
アカの0,赤0
アカの1,赤1
アカの3,赤3
アカの4,赤4
アカの6,赤6
アカの7,赤7
アカの8,赤8
アカの9,赤9
アカの10,赤10
モモの0,桃0
モモの1,桃1
モモの3,桃3
モモの4,桃4
モモの6,桃6
モモの7,桃7
モモの8,桃8
モモの9,桃9
モモの10,桃10
ニジの0,虹0
ニジの1,虹1
ニジの3,虹3
ニジの4,虹4
ニジの6,虹6
ニジの7,虹7
ニジの8,虹8
ニジの9,虹9
ニジの10,虹10
クロの0,黒0
クロの1,黒1
クロの3,黒3
クロの4,黒4
クロの6,黒6
クロの7,黒7
クロの8,黒8
クロの9,黒9
クロの10,黒10
わからない,わからない
